,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals.,X3PointShots,X3PointShots.,TotalRebounds,Assists,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoals.,v.X3PointShots,v.X3PointShots.,v.TotalRebounds,v.Assists,v.Blocks,v.Opp.FieldGoals,v.Opp.FieldGoals.,v.Opp.3PointShots,v.Opp.3PointShots.,v.Opp.TotalRebounds,v.Opp.Assists,v.Opp.Blocks,h._ATL,h._BOS,h._BRK,h._CHI,h._CHO,h._CLE,h._DAL,h._DEN,h._DET,h._GSW,h._HOU,h._IND,h._LAC,h._LAL,h._MEM,h._MIA,h._MIL,h._MIN,h._NOP,h._NYK,h._OKC,h._ORL,h._PHI,h._PHO,h._POR,h._SAC,h._SAS,h._TOR,h._UTA,h._WAS,a._ATL,a._BOS,a._BRK,a._CHI,a._CHO,a._CLE,a._DAL,a._DEN,a._DET,a._GSW,a._HOU,a._IND,a._LAC,a._LAL,a._MEM,a._MIA,a._MIL,a._MIN,a._NOP,a._NYK,a._OKC,a._ORL,a._PHI,a._PHO,a._POR,a._SAC,a._SAS,a._TOR,a._UTA,a._WAS
1864,0,-0.36067376857495353,1.2190766902466783,-0.6704318224379925,-1.0055576433773306,0.3182292688614273,-0.21483950404023935,0.7306583906660035,-0.6790202228760677,-1.3923188102443413,2.3350176403071696,1.678651117722064,0.5107867066085727,1.1867399055454948,1.046848587635427,0.3572907924041343,1.6148821625390524,-0.19012131448087896,0.18925613044647668,2.4872411894199313,0.3764329432811433,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1868,1,0.7639726188905865,0.40855543132591693,0.24232475509807902,-0.05490564355412598,1.212131709483414,1.2203982050592155,1.0995344713905948,-0.4051766762017718,-0.4199056729308322,0.2313981445349442,1.0091036633599928,0.021828491735404132,0.21215461998578755,-0.051244336457680735,-0.7082013920867628,1.0092010732608687,-0.17201452262555314,-0.39171617697062855,-0.033385787777448814,0.05377613475444848,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1869,0,0.7639726188905865,0.40855543132591693,0.24232475509807902,-0.05490564355412598,1.212131709483414,1.2203982050592155,1.0995344713905948,-0.4051766762017718,-0.4199056729308322,0.2313981445349442,1.0091036633599928,0.021828491735404132,0.21215461998578755,-0.051244336457680735,-0.7082013920867628,1.0092010732608687,-0.17201452262555314,-0.39171617697062855,-0.033385787777448814,0.05377613475444848,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,0,1.1574349118814418,1.6935281588832203,1.2116237754903434,0.8690779008284517,-0.2896243907615237,0.6527551704225613,0.2837508313266094,1.04228207050524,-0.5083068672320603,1.4620155495616936,-0.09086715452056836,1.6022112933790031,0.9338591754731584,1.9985291218494527,1.8757766601216939,0.7725442238078087,0.4979367760213301,1.5184503489310737,1.4856675560964743,0.19717916076631284,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,1,1.1574349118814418,1.6935281588832203,1.2116237754903434,0.8690779008284517,-0.2896243907615237,0.6527551704225613,0.2837508313266094,1.04228207050524,-0.5083068672320603,1.4620155495616936,-0.09086715452056836,1.6022112933790031,0.9338591754731584,1.9985291218494527,1.8757766601216939,0.7725442238078087,0.4979367760213301,1.5184503489310737,1.4856675560964743,0.19717916076631284,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1875,1,0.3377218014838181,-2.7149167371979974,1.1873912999805396,2.1319077025737454,-0.9189317089594011,1.7832365223531044,0.1915318111454605,1.031104782885883,1.1123816949571197,-1.051809747886109,-2.3577635357178788,-1.968929954533867,-1.2312544909889327,-2.3352776185713395,-2.303249572462352,-1.7376228336113084,-1.7533410113236076,-0.9198728200770844,-0.5675583922166263,-1.9717916076631337,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,1,0.3377218014838181,-2.7149167371979974,1.1873912999805396,2.1319077025737454,-0.9189317089594011,1.7832365223531044,0.1915318111454605,1.031104782885883,1.1123816949571197,-1.051809747886109,-2.3577635357178788,-1.968929954533867,-1.2312544909889327,-2.3352776185713395,-2.303249572462352,-1.7376228336113084,-1.7533410113236076,-0.9198728200770844,-0.5675583922166263,-1.9717916076631337,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,0,0.05246163906545348,-1.3047415387504977,-1.106616381614515,0.07922099998526824,0.03218048786239141,0.8744585563810158,-0.1844380403622936,-1.6402669581409544,0.6261751263003655,-1.4935698419982804,-0.6552000089114657,-1.4363147561898901,-0.5862665614785911,0.2122979653246682,-0.49127483955568096,1.2314178437642467,-1.614522273766141,-0.33009790194153843,-1.7360609644273373,0.28680605202373,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,0,-1.295146714428243,-1.9472279025291455,-1.5185684652812337,-0.13491100987589272,-0.03218048786239037,0.35829463613099266,-0.21281312349494463,-1.5229054381376825,0.33150447862960625,0.32606102184469404,-0.32999124536416385,-1.9951241446163488,-0.5796367296040223,-0.8125887638288986,-1.103773340819908,0.13878520323859095,-1.8800885543108532,-2.1698435420957147,0.35055077166321197,-0.6990897518078381,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,1,-1.295146714428243,-1.9472279025291455,-1.5185684652812337,-0.13491100987589272,-0.03218048786239037,0.35829463613099266,-0.21281312349494463,-1.5229054381376825,0.33150447862960625,0.32606102184469404,-0.32999124536416385,-1.9951241446163488,-0.5796367296040223,-0.8125887638288986,-1.103773340819908,0.13878520323859095,-1.8800885543108532,-2.1698435420957147,0.35055077166321197,-0.6990897518078381,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1884,0,0.5082221284465324,0.438208648115697,0.840059151006637,0.6557302573037785,0.11084390263712758,0.6246132545578631,-1.000221680426271,1.0534593581246021,-1.2007828892583468,0.11569907226747134,0.22477664539298986,0.21391921900701444,0.7605364278954795,0.4904815060949183,-0.07656231265802745,0.7308284401753969,0.105622952489369,0.3212952912230977,0.5842512861053549,-1.2547764776038117,1.1246463874655326,0.9423133335420266,-0.420029575503309,-0.003137465345951076,1.2979463437831251,0.00411832915093411,-0.3759698515077417,-0.0027943219048388733,0.31677094624606766,0.4409355330552571,0.5739540165686802,1.3689558453694062,0.6249345278777622,0.3410112466085449,1.7561208383289832,-0.43020907803559305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886,1,0.17050032696270281,-1.0180937764492484,0.23424726326146525,0.4588543068453699,0.8402682941846696,0.16541955422906127,-0.9363777433777853,1.6011464514731988,1.2007828892583476,0.6310858487316681,-1.0569284815287079,-0.9211623512342396,-1.5456979456107378,-0.3440691162158405,0.07656231265802745,-0.8519646580310147,1.240315242089499,-0.1276378554173968,1.2853528294317789,-0.23302991726928024,-0.20656770382019587,0.03953762238638105,0.2019372959150619,-0.5749405246455347,-0.32538048838640193,1.1201855290532219,1.574817113862652,0.2878151561984984,0.9650463711217394,0.7465344173509862,-0.8438828857470388,-0.7540238078772672,-1.0757858817510346,0.9687133642596784,0.2332691840386854,0.8066420213167363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,1,0.17050032696270281,-1.0180937764492484,0.23424726326146525,0.4588543068453699,0.8402682941846696,0.16541955422906127,-0.9363777433777853,1.6011464514731988,1.2007828892583476,0.6310858487316681,-1.0569284815287079,-0.9211623512342396,-1.5456979456107378,-0.3440691162158405,0.07656231265802745,-0.8519646580310147,1.240315242089499,-0.1276378554173968,1.2853528294317789,-0.23302991726928024,-0.20656770382019587,0.03953762238638105,0.2019372959150619,-0.5749405246455347,-0.32538048838640193,1.1201855290532219,1.574817113862652,0.2878151561984984,0.9650463711217394,0.7465344173509862,-0.8438828857470388,-0.7540238078772672,-1.0757858817510346,0.9687133642596784,0.2332691840386854,0.8066420213167363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,1,0.9049632738789828,-0.06589603731062867,0.621966871418371,-0.7616197127296345,0.082239024537224,-0.9822215024970464,0.7377521614491744,0.8690341124051713,-0.8619116444369717,-0.32606102184469404,1.0569284815287052,-0.5981006735501995,-0.7207574366481356,-0.7686650468651748,-0.49765503227718494,-1.4656680133923456,0.9385353778341424,-0.875859766484886,-0.15023604499851906,0.41228369978410934,-0.20656770382019587,0.03953762238638105,0.2019372959150619,-0.5749405246455347,-0.32538048838640193,1.1201855290532219,1.574817113862652,0.2878151561984984,0.9650463711217394,0.7465344173509862,-0.8438828857470388,-0.7540238078772672,-1.0757858817510346,0.9687133642596784,0.2332691840386854,0.8066420213167363,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,1,0.9049632738789828,-0.06589603731062867,0.621966871418371,-0.7616197127296345,0.082239024537224,-0.9822215024970464,0.7377521614491744,0.8690341124051713,-0.8619116444369717,-0.32606102184469404,1.0569284815287052,-0.5981006735501995,-0.7207574366481356,-0.7686650468651748,-0.49765503227718494,-1.4656680133923456,0.9385353778341424,-0.875859766484886,-0.15023604499851906,0.41228369978410934,-0.20656770382019587,0.03953762238638105,0.2019372959150619,-0.5749405246455347,-0.32538048838640193,1.1201855290532219,1.574817113862652,0.2878151561984984,0.9650463711217394,0.7465344173509862,-0.8438828857470388,-0.7540238078772672,-1.0757858817510346,0.9687133642596784,0.2332691840386854,0.8066420213167363,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,0,-1.0164442568930419,0.8401744757105492,-0.0726974265294157,0.1090269207717999,-1.2049804899584364,-0.07138437194947354,-0.737752161449158,0.0027943219048405014,-1.1565822921077342,0.35761531428127935,-2.022989808536842,1.7069880537089666,2.2077340142271016,1.1346960215628767,0.6507796575932417,1.31244273120412,-0.32290445475322965,1.7121077847367798,1.4188959805415766,0.12547764776038065,-0.20656770382019587,0.03953762238638105,0.2019372959150619,-0.5749405246455347,-0.32538048838640193,1.1201855290532219,1.574817113862652,0.2878151561984984,0.9650463711217394,0.7465344173509862,-0.8438828857470388,-0.7540238078772672,-1.0757858817510346,0.9687133642596784,0.2332691840386854,0.8066420213167363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896,1,0.2721447526520108,-0.6260123544509935,-0.8481366428432413,-0.8322126830135301,1.2478878071082955,0.7474767408939709,0.1844380403622936,-0.2989924438178555,0.5377739319991385,-1.7039317915755032,-1.8603854267631923,-0.4322041363610914,-0.593843512192365,0.3733515941916578,0.5869777303782185,-0.47491815212274735,0.35308244117875864,0.8142414914557933,-1.3688172988754004,0.44813445628707543,-0.20656770382019587,0.03953762238638105,0.2019372959150619,-0.5749405246455347,-0.32538048838640193,1.1201855290532219,1.574817113862652,0.2878151561984984,0.9650463711217394,0.7465344173509862,-0.8438828857470388,-0.7540238078772672,-1.0757858817510346,0.9687133642596784,0.2332691840386854,0.8066420213167363,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
