,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals.,X3PointShots,X3PointShots.,Assists,Opp.FieldGoals.,Opp.3PointShots.,Opp.TotalRebounds,Opp.Blocks,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoals.,v.X3PointShots,v.X3PointShots.,v.Assists,v.Opp.FieldGoals,v.Opp.FieldGoals.,v.Opp.3PointShots,v.Opp.3PointShots.,v.Opp.TotalRebounds,v.Opp.Blocks,h._ATL,h._BOS,h._BRK,h._CHI,h._CHO,h._CLE,h._DAL,h._DEN,h._DET,h._GSW,h._HOU,h._IND,h._LAC,h._LAL,h._MEM,h._MIA,h._MIL,h._MIN,h._NOP,h._NYK,h._OKC,h._ORL,h._PHI,h._PHO,h._POR,h._SAC,h._SAS,h._TOR,h._UTA,h._WAS,a._ATL,a._BOS,a._BRK,a._CHI,a._CHO,a._CLE,a._DAL,a._DEN,a._DET,a._GSW,a._HOU,a._IND,a._LAC,a._LAL,a._MEM,a._MIA,a._MIL,a._MIN,a._NOP,a._NYK,a._OKC,a._ORL,a._PHI,a._PHO,a._POR,a._SAC,a._SAS,a._TOR,a._UTA,a._WAS
1149,0,-0.4090017736745956,-0.40109179795451344,-0.7230383196165017,-0.1476768932992508,-0.21306417961219196,-0.835824478155207,0.5837170275827528,-1.2807812363253066,-0.010767949321313686,0.05798569127690303,0.338298266418259,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,0,0.7557641470074064,-0.03731086492600049,-0.37667265752476814,-0.023646149078122656,1.7653889167867198,0.09616262711635351,1.234144572603532,-0.6013458853240894,-1.8423448529296218,0.44683091513382,0.47361757298556373,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,0,0.18079063908803988,1.697644354133086,-0.9741534246330087,-0.7169690861991093,0.8826944583933631,-1.0854521197791902,-0.47809204163920765,0.05072965288516252,0.7101718957159702,1.9067059661053956,1.0148947992547785,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,0,-0.03852915259253377,-0.28294072568885065,-1.0867222648128263,-0.937369041757529,0.5098321440720273,-0.41033778557186884,0.26128285996561346,-0.013109910296172709,0.7173505285968538,0.29675030241711814,0.8989068221970878,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,1,-0.4949514217656314,-0.8923515194802102,-0.3506952328678914,-0.7392767740086646,-1.0044454181717568,-1.1928117651214183,0.07226972722453032,-0.29696796801315056,-0.8568211102825963,-0.34450322464516037,-0.4929489024951793,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,1,1.333701435895413,0.4415119016243591,0.567173771675216,1.1283228494073194,2.412190890609444,1.389747556270672,0.0833881467975331,0.013109910296172709,0.16664683473480885,0.3035721484496894,-1.0535574582740095,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,0,-1.7278843047267327,-1.2561324525087303,-2.160455817297199,-1.090845933887258,0.897913328365662,-0.085624257021416,-0.8116446288293531,0.9387835764253675,1.395218576348869,0.33768137861257724,-2.4067505239470486,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,0,1.5796952562938982,1.408485150956563,1.3638147944862051,1.118507466771115,0.8066001085318626,0.5038658201644924,1.2508222019630388,1.731078155193606,1.1439664255179531,-1.613366586704555,-0.10632231230288068,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,1,1.5796952562938982,1.408485150956563,1.3638147944862051,1.118507466771115,0.8066001085318626,0.5038658201644924,1.2508222019630388,1.731078155193606,1.1439664255179531,-1.613366586704555,-0.10632231230288068,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,0,-0.9187721002835132,-0.7617634922392066,0.47192321459997943,-0.44659990994730564,-0.9892265481994575,-1.7039227147261813,-0.6281907058747738,0.33116773400312527,0.853744553333651,-0.4195435310035113,-1.304864741899002,2.661475309853518,-0.3295793068463504,2.7839140090623213,3.0378609259052634,1.6816851319390742,1.5056696273150476,3.619045571013065,-0.22423563779707836,-2.1152555264812114,-0.9162269587801664,-2.9950281898029125,-0.18760076589587935,-1.7881479796393742,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
